city,date,death_new,death_accum
HSQ,2022-04-10,0,13
HSQ,2022-04-11,0,13
HSQ,2022-04-12,0,13
HSQ,2022-04-13,0,13
HSQ,2022-04-14,0,13
HSQ,2022-04-15,0,13
HSQ,2022-04-16,0,13
HSQ,2022-04-17,0,13
HSQ,2022-04-18,0,13
HSQ,2022-04-19,0,13
HSQ,2022-04-20,0,13
HSQ,2022-04-21,0,13
HSQ,2022-04-22,0,13
HSQ,2022-04-23,0,13
HSQ,2022-04-24,0,13
HSQ,2022-04-25,0,13
HSQ,2022-04-26,0,13
HSQ,2022-04-27,0,13
HSQ,2022-04-28,0,13
HSQ,2022-04-29,0,13
HSQ,2022-04-30,0,13
HSQ,2022-05-01,0,13
HSQ,2022-05-02,0,13
HSQ,2022-05-03,0,13
HSQ,2022-05-04,0,13
HSQ,2022-05-05,1,14
HSQ,2022-05-06,0,14
HSQ,2022-05-07,0,14
HSQ,2022-05-08,0,14
HSQ,2022-05-09,0,14
HSQ,2022-05-10,0,14
HSQ,2022-05-11,0,14
HSQ,2022-05-12,0,14
HSQ,2022-05-13,0,14
HSQ,2022-05-14,0,14
HSQ,2022-05-15,0,14
HSQ,2022-05-16,0,14
HSQ,2022-05-17,0,14
HSQ,2022-05-18,0,14
HSQ,2022-05-19,0,14
HSQ,2022-05-20,1,15
HSQ,2022-05-21,0,15
HSQ,2022-05-22,2,17
HSQ,2022-05-23,0,17
HSQ,2022-05-24,0,17
HSQ,2022-05-25,0,17
HSQ,2022-05-26,1,18
HSQ,2022-05-27,0,18
HSQ,2022-05-28,0,18
HSQ,2022-05-29,2,20
HSQ,2022-05-30,0,20
HSQ,2022-05-31,1,21
HSQ,2022-06-01,1,22
HSQ,2022-06-02,0,22
HSQ,2022-06-03,0,22
HSQ,2022-06-04,2,24
MIA,2022-03-10,0,3
MIA,2022-03-11,0,3
MIA,2022-03-12,0,3
MIA,2022-03-13,0,3
MIA,2022-03-14,0,3
MIA,2022-03-15,0,3
MIA,2022-03-16,0,3
MIA,2022-03-17,0,3
MIA,2022-03-18,0,3
MIA,2022-03-19,0,3
MIA,2022-03-20,0,3
MIA,2022-03-21,0,3
MIA,2022-03-22,0,3
MIA,2022-03-23,0,3
MIA,2022-03-24,0,3
MIA,2022-03-25,0,3
MIA,2022-03-26,0,3
MIA,2022-03-27,0,3
MIA,2022-03-28,0,3
MIA,2022-03-29,0,3
MIA,2022-03-30,0,3
MIA,2022-03-31,0,3
MIA,2022-04-01,0,3
